county,year,table,sector,description,direct,indirect,induced,total
Alcona,2006,Output,0,Total,-63457.907818646003,-5854.4193477677172,-3732.986501498594,-73045.313667912313
Alcona,2006,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-1.9268916827095521,-16.508460286767878,-18.435351969477427
Alcona,2006,Output,20,21 Mining,0,-4.0004887876475381,-1.8490681941684497,-5.8495569818159883
Alcona,2006,Output,41,22 Utilities,0,0,0,0
Alcona,2006,Output,52,23 Construction,0,-30.991726265902702,-19.899643106761012,-50.891369372663718
Alcona,2006,Output,65,31-33 Manufacturing,0,-30.25810745841542,-5.1382941578970502,-35.396401616312474
Alcona,2006,Output,395,42 Wholesale Trade,-63457.907818646003,-30.675150895665865,-8.7092445053040208,-63497.292214046975
Alcona,2006,Output,396,44-45 Retail trade,0,-22.02350991617633,-361.73982639989532,-383.76333631607162
Alcona,2006,Output,408,48-49 Transportation & Warehousing,0,-543.08974422307233,-68.743748374726778,-611.83349259779925
Alcona,2006,Output,417,51-56 Professional Services,0,-4168.2499919178881,-2528.3889133918424,-6696.6389053097291
Alcona,2006,Output,472,"61-81 Education, Health, Recreation Service",0,-223.4960990739645,-702.15505350370279,-925.6511525776674
Alcona,2006,Output,518,92 Government & non NAICs,0,-799.70763754627444,-19.854249577528023,-819.56188712380242
Allegan,2006,Output,0,Total,-2527675.4468501499,-62513.182167723382,-106314.46264316654,-2696503.0916610393
Allegan,2006,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-37.095851127470944,-1537.0608303119182,-1574.1566814393896
Allegan,2006,Output,20,21 Mining,0,-27.892087742099374,-70.319234628021462,-98.211322370120826
Allegan,2006,Output,41,22 Utilities,0,-4740.7906070310846,-2826.4620195602643,-7567.2526265913493
Allegan,2006,Output,52,23 Construction,0,-136.57984399994706,-143.52711948359686,-280.10696348354395
Allegan,2006,Output,65,31-33 Manufacturing,0,-2094.0609553933791,-2715.3505553843147,-4809.4115107776952
Allegan,2006,Output,395,42 Wholesale Trade,-2527675.4468501499,-3693.6099085197784,-1399.6784412615327,-2532768.7351999311
Allegan,2006,Output,396,44-45 Retail trade,0,-106.44640918060959,-1984.4108122294986,-2090.8572214101087
Allegan,2006,Output,408,48-49 Transportation & Warehousing,0,-11023.632159626593,-2561.2804065943969,-13584.912566220994
