county,industry,description,notused1,notused2,employment,laborinc,output
Calhoun,482,Hospitals,,,2533,173561300,346202900
Calhoun,502,Limited-service restaurants,,,2149,33078120,156212800
Calhoun,395,Wholesale trade,,,2055,184075700,516927100
Calhoun,464,Employment services,,,1963,48519660,86619920
Calhoun,351,Motor vehicle electrical and electronic equipment manufacturing,,,1922,101399500,729308200
Calhoun,483,Nursing and community care facilities,,,1922,72283620,122901300
Cass,534,"* Employment and payroll of local govt, education",,,1162,68820980,77465500
Cass,14,"Animal production, except cattle and poultry and eggs",,,862,24840990,65762940
Cass,501,Full-service restaurants,,,701,10125150,25927310
Cass,440,Real estate,,,614,4178840,51313060
Cass,533,"* Employment and payroll of local govt, non-education",,,550,26740880,30125150
Cass,395,Wholesale trade,,,516,29058670,102212700
Cass,195,Other plastics product manufacturing,,,494,23784300,122984900
Cass,509,Personal care services,,,311,4974401,8527596
Cass,468,Services to buildings,,,266,2587136,6288121
Cass,469,Landscape and horticultural services,,,260,4021831,9368292
Charlevoix,533,"* Employment and payroll of local govt, non-education",,,878,45420000,51168260
Charlevoix,501,Full-service restaurants,,,734,15780100,31996890
Charlevoix,440,Real estate,,,721,7674543,92425890
Charlevoix,195,Other plastics product manufacturing,,,580,35721110,153960700
Charlevoix,499,"Hotels and motels, including casino hotels",,,529,15966970,58195740
Charlevoix,229,Ferrous metal foundries,,,517,42002520,170430500
Charlevoix,534,"* Employment and payroll of local govt, education",,,503,33293770,37475760
Charlevoix,476,Offices of dentists,,,375,25605270,49823380
Charlevoix,482,Hospitals,,,305,23176780,44115570
Charlevoix,400,Retail - Food and beverage stores,,,273,7403662,17736010
Cheboygan,440,Real estate,,,595,1497392,46265290
Cheboygan,534,"* Employment and payroll of local govt, education",,,463,29956640,33719460
Cheboygan,501,Full-service restaurants,,,460,8877494,19146530
Cheboygan,502,Limited-service restaurants,,,397,6735356,29830850
Cheboygan,405,Retail - General merchandise stores,,,341,8916935,25083700
Cheboygan,406,Retail - Miscellaneous store retailers,,,332,6512130,12539390
Cheboygan,533,"* Employment and payroll of local govt, non-education",,,327,15411370,17361800
Cheboygan,509,Personal care services,,,291,5001279,8387943
Cheboygan,448,"Accounting, tax preparation, bookkeeping, and payroll services",,,249,8891527,15988650
Cheboygan,503,All other food and drinking places,,,245,5795412,8504455
Chippewa,533,"* Employment and payroll of local govt, non-education",,,2307,110220000,124169200
Chippewa,534,"* Employment and payroll of local govt, education",,,1314,78247090,88075610
Chippewa,395,Wholesale trade,,,940,14526080,127114600
Chippewa,531,"* Employment and payroll of state govt, non-education",,,775,63293520,71855240
Chippewa,532,"* Employment and payroll of state govt, education",,,666,34361700,38915800
Chippewa,405,Retail - General merchandise stores,,,608,14944790,43589470
Chippewa,526,Other local government enterprises,,,592,25558080,131117300
Chippewa,501,Full-service restaurants,,,441,7329894,17207540
Chippewa,440,Real estate,,,403,1661089,36702190
Chippewa,535,"* Employment and payroll of federal govt, non-military",,,390,45623240,67259320
Clare,534,"* Employment and payroll of local govt, education",,,896,57124480,64299810
Clare,440,Real estate,,,615,2568711,47580120
Clare,395,Wholesale trade,,,441,10500690,64368100
Clare,533,"* Employment and payroll of local govt, non-education",,,405,18145390,20441840
Clare,512,Other personal services,,,364,5623587,9392550
Clare,513,Religious organizations,,,345,10847070,40686870
Clare,407,Retail - Nonstore retailers,,,342,3188700,29250330
Clare,502,Limited-service restaurants,,,313,4673824,22118870
Clare,482,Hospitals,,,279,16654400,35511010
Clare,483,Nursing and community care facilities,,,272,8537173,15688650
Clinton,440,Real estate,,,1542,7621480,148573500
Clinton,534,"* Employment and payroll of local govt, education",,,1243,80799840,90949020
Clinton,395,Wholesale trade,,,1213,66937780,240139500
Clinton,405,Retail - General merchandise stores,,,819,21195440,59979700
Clinton,154,Printing,,,758,31683230,108771600
Clinton,502,Limited-service restaurants,,,677,11200250,50131050
Clinton,407,Retail - Nonstore retailers,,,667,4630699,51083810
Clinton,512,Other personal services,,,560,11520570,16298260
Clinton,469,Landscape and horticultural services,,,536,13876610,25956960
Clinton,12,Dairy cattle and milk production,,,524,41583620,171907700
Crawford,482,Hospitals,,,568,37671030,76290300
Crawford,440,Real estate,,,263,326039,19629280
Crawford,502,Limited-service restaurants,,,227,3287697,15988970
Crawford,531,"* Employment and payroll of state govt, non-education",,,222,21221360,24091980
Crawford,534,"* Employment and payroll of local govt, education",,,198,13487360,15181490
Crawford,533,"* Employment and payroll of local govt, non-education",,,189,8112682,9139405
Crawford,61,Construction of other new residential structures,,,153,2888776,40897580
Crawford,501,Full-service restaurants,,,144,2390707,5612507
Crawford,395,Wholesale trade,,,143,6721457,26481630
Crawford,483,Nursing and community care facilities,,,115,3432294,6455028
Delta,534,"* Employment and payroll of local govt, education",,,820,50186040,56489850
Delta,147,Paper mills,,,762,90762060,618789100
Delta,533,"* Employment and payroll of local govt, non-education",,,585,29348880,33063210
Delta,501,Full-service restaurants,,,538,6790574,18948810
Delta,249,Machine shops,,,528,33374620,80646340
Delta,405,Retail - General merchandise stores,,,489,13574610,36927590
Delta,482,Hospitals,,,480,33941990,66739340
Delta,502,Limited-service restaurants,,,453,7176326,33427760
Delta,513,Religious organizations,,,448,8317287,46000600
Delta,400,Retail - Food and beverage stores,,,423,8750222,24003540
Dickinson,533,"* Employment and payroll of local govt, non-education",,,1130,68524900,77197260
Dickinson,535,"* Employment and payroll of federal govt, non-military",,,707,67568740,99612100
Dickinson,502,Limited-service restaurants,,,635,8499234,43697080
Dickinson,534,"* Employment and payroll of local govt, education",,,519,32735930,36847860
Dickinson,405,Retail - General merchandise stores,,,510,13671010,37890810
Dickinson,395,Wholesale trade,,,492,32938560,107073600
Dickinson,147,Paper mills,,,486,49115380,380687500
Dickinson,264,Construction machinery manufacturing,,,440,31579060,307862600
