Regional SAM Balances IO Aggregated Accounts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receipts,Description,1,2,3,4,5,6,7,8,9,10,11,5001,6001,7001,8001,10001,10002,10003,10004,10005,10006,10007,10008,10009,11001,11002,11003,12001,12002,12003,13001,14001,14002,25001,28001
1,"11 Ag, Forestry, Fish & Hunting",26550086.54256466,4325.1405481006022,,273441.00940725504,48204086.071915463,7147.9949515568751,536.83535372797553,17730.105535325445,92845.184268853802,50214.524425293348,18.991248954103369,,,,,69160.192180559534,59065.938234047804,181071.24328462931,189295.24765680227,278470.73006579274,425847.28945571528,272216.17329858936,249180.236445035,134421.96477942739,1.0874943709379354,2220.6323324032942,0,51473.215179278392,8213.4526173378454,0,,0,4545172.9132408332,47878408.799897633,274015215.47954518
2,21 Mining,62306.924636628049,564143.24741156283,27306.445259138272,654467.9731570927,545361.54998048313,8524.8767255061448,25122.294225780948,11439.576409944686,97792.400977045138,34192.861462297726,4097.5839079055058,,,,,3674.5129574655566,2976.9000435197136,11097.530483583914,11689.887372373587,17696.962749355756,26138.849446361884,16208.342948339398,13279.191331275382,5378.7692854954994,65.587725779033292,1445.5367115683509,0,105703.89592227251,218.9040206826231,0,,525338.97144170653,29476.659232652335,1854288.4534039623,8279012.6914654234
3,22 Utilities,191796.46692732693,2508.6990587599889,3150.4213495542053,11018.077508469107,102231.35459949149,10927.95876239805,5997.9390729896104,17884.754415559732,20443.390692463781,34087.016970694014,7206.4054406394962,,,,,30266.221778041734,30681.737958142327,97239.059888965872,91296.808391869272,135328.92970558509,183818.54962135528,111032.42516529086,92426.741245587269,40986.871584539906,72.87963796785823,2083.425247187507,0,44495.254504241253,105108.17308832257,0,,0,0,4546.9851954451251,10970.42090696257
4,23 Construction,3218721.5525185373,708524.69731560838,245823.02777479016,78042.130988257719,4580119.4508970566,406159.40743441571,233969.62321606386,679844.56357598933,11731602.795095014,1076350.2174059022,171350.76657769352,,,,,0,0,0,0,0,0,0,0,0,11034.449534151549,199612.20137205717,178115.88628983952,7113471.2888839226,24028.024937994403,18175079.362975121,,104578981.61078441,0,38320.439634844661,1473034.9287856356
5,31-33 Manufacturing,113075.68307176023,1979.3753568535608,2507.9084284795263,3541767.9133903626,2920007.6839138363,174918.45811234464,14148.329001710525,204165.83919641032,535546.57188619522,291621.28957399447,2936.9814812876816,,,,,22166.445396029805,16782.362728946035,53894.905546957205,51564.825963182193,76816.603899205831,112554.42248738665,72213.152017945977,61407.622772467235,27568.568223226324,56.219541293354688,4343.4909807717186,98.80391403572402,69640.266490968832,20898.938218559906,1560.2676347373304,,32251.2943185072,835100.37966803217,90625343.689862072,654880318.70800185
6,42 Wholesale Trade,11559256.807648329,196621.42044570862,10525.42315128191,7150729.3387204381,35117283.799065925,3098664.3331998494,1305100.1238369229,1476619.3327830359,2728657.6314087198,3777788.5683172015,289860.49487125332,,,,,1685740.7728717788,1015827.2550327447,4784472.8351101717,4715684.8294665413,5679782.8274143413,7878041.5226958906,5021338.6676949523,5152742.9028005404,2754953.5049087177,2181.7506055466433,114011.59535513139,40514.967562410937,1695972.715195766,108.17857030175094,189352.16616701841,,6986418.9766945178,401580.73804800998,18386598.587036133,1249876.0223388674
7,48-49 Transportation & Warehousing,3222552.2065392635,46828.590656468376,10642.223808554358,2823015.7193606882,15147814.379599154,1920035.8911827342,2118010.4166386388,2723428.764246936,1717492.674616792,1124131.7793656257,136929.69955779053,,,,,315831.19729181658,173551.14439517009,923028.99439431645,969565.12347939762,1350319.8553865042,2120724.0742638074,1438246.9366374856,1395707.2097592505,811268.17167235399,920.53127849142834,84391.76982655676,5386.314927556622,899743.89275517059,47075.384030583475,37256.306620407144,,1636142.9971424621,140953.83911734831,4909466.9668009467,791788.71046954696
8,44-45 Retail trade,245990.02063989319,9976.1408585056161,254.20095286423737,18524112.337876789,1621039.6550834533,103151.0727833218,941545.20837418828,847884.0958463765,2359971.585115219,2180766.7422037041,,,,,,4002516.2504716199,2411916.084976729,11359950.018160891,11196623.878302459,13485716.88230923,18705124.090562314,11922348.522545308,12234347.118598335,6541187.5301400516,25.44783884937889,47.235156397192426,0,21036.38831825582,40920.398347924536,0,,5463391.5109526571,0,0,32179742.425680161
9,51-56 Professional Services,7025868.9995064223,747192.05990397953,116374.50955784558,4721383.2634313582,17408295.910299316,10722094.95213682,2840479.0164801697,10577259.832955148,72005867.000744864,21073844.708847281,892203.09247665596,,,,,9068610.5584185421,6513478.7563560884,23052206.023926828,23359424.566937421,34199659.273936801,50795500.869399518,33911456.424154066,30913863.229190405,15762758.703258479,11371.313901686688,691175.24340530229,455135.99290671339,6364838.6157273641,1804824.8414813171,423830.11773151031,,18598946.772264089,616.78626335148772,13443292.452599071,46839599.257080466
10,"61-72 Educational, Health, Recreation Service",455541.41797196504,10835.595881711524,10561.766418881764,829678.47780668712,4324005.0498324307,1968499.5674363936,264059.32094209536,1368225.0953184816,5145570.4548532479,4204924.5451140916,216544.07633256589,,,,,7067402.7265814897,6144340.8913941169,22076394.20726046,22211945.60377232,31649809.237646218,46625280.682252318,29648175.994901251,26393276.63813277,12230193.404114068,1859.2016969568949,45217.548209963526,0,1850470.8574845023,908194.19840428419,0,,195501.70796409447,0,452974.7850470359,29002670.816277001
11,92 Government & non NAICs,33841.925023933254,227.2141252407454,2395.8952939395976,19777.342377396315,203820.99804120546,1193657.1181200862,1315023.6456467344,496230.69088065211,899626.10679173237,713106.55055777414,6892.8299648836901,,,,,55997.661502839372,30835.86779174571,134002.73618927889,134982.87615442718,177209.15712705223,270736.32770778489,178022.36691895154,189565.71402090654,120298.53276577972,207682.40207063381,9788162.1106502805,0,51197325.675792962,57002118.338123627,0,,0,0,43947.871774435043,3107558.115731373
5001,Employee Compensation,24586015.097098425,2182952.7616500854,175710.21616458893,15141365.692019463,111687377.45657563,35762142.181396484,8224109.9551320076,48750367.83888936,55970939.957536757,81952921.902062371,105944834.64956284,,,,,,,,,,,,,,,,,,,,,,,,
6001,Proprietor Income,55234003.034885973,161617.99104884267,214234.93325710297,16018366.381525993,1456919.4365758449,1625057.2204589844,5856669.7872010991,5461203.2659351826,13415256.61048945,30156844.057200942,0,,,,,,,,,,,,,,,,,,,,,,,,
7001,Other Property Type Income,135086976.84388608,1844381.5112113953,25274.842977523804,6156442.8508281708,59488076.914101839,22056949.615478516,1779636.0068023205,14061988.283880055,115142599.10816327,12661568.419483956,15933129.370212555,,,,,,,,,,,,,,,,,,,,,,,,
8001,Tax on Production and Imports,-6960326.9924555197,193954.72295582295,104587.58473396301,1161211.8873745203,5559059.068094939,16380668.640136719,526189.22374676913,32817680.560052395,30727175.131789409,13502832.602476701,-1016.2856196984649,,,,,,,,,,,,,,,,,,,,,,,,
10001,Households LT10k,,,,,5333.0082589729845,,,,,,,1938474.1119054754,0,1350137.8186047077,,1775.6305169314146,1240.8779002726078,5528.0644446611404,7790.7387167215347,14281.860552728176,27307.158336043358,30124.669894576073,55299.15913939476,144175.78279972076,9102534.1749191284,0,0,2133237.823843956,0,0,922406.67343139648,37141557.859075867,39.966394410669025,2629.1295342111744,758680.68762087112
10002,Households 10-15k,,,,,3000.3333528978906,,,,,,,2373350.6188427918,167521.17597945972,970677.40932106972,,1275.4962081089616,891.36511087417603,3970.9978736937046,5596.354603767395,10259.149596095085,19615.666940808296,21639.581769704819,39723.280817270279,103566.40070676804,18238308.280706406,0,0,4096525.7212519646,0,0,662596.28534317017,12139055.969050674,22.484965393339646,1479.1398489418016,923811.01265377877
10003,Households 15-25k,,,,,11903.893016567199,,,,,,,16737283.509456685,3034662.014527359,5435498.6697435379,,7138.7635543942451,4988.8384528458118,22225.087508559227,31321.968883275986,57418.942451477051,109785.98892688751,121113.53874206543,222325.32501220703,579645.81251144409,57216241.598129272,0,0,12922287.821769714,0,0,3708453.4168243408,36204131.009330951,89.209628078497076,5868.5220765013455,6501576.0308533628
10004,Households 25-35k,,,,,12372.634856985231,,,,,,,26086373.505367879,5546896.6389130745,6775721.2817668915,,8895.345963537693,6216.4044938981533,27693.849056959152,39029.132574796677,71547.59019613266,136800.19974708557,150915.04156589508,277031.24284744263,722274.95908737183,49273673.534393311,0,0,11184452.593326569,0,0,4620965.0039672852,30915551.81047754,92.722452428508063,6099.6079771260111,10124335.593648028
10005,Households 35-50k,,,,,19550.137369370947,,,,,,,54251730.94671841,12877249.893847279,12084071.576595306,,15857.314690947533,11081.691831350327,49368.523061275482,69575.399160385132,127544.52228546143,243867.29300022125,269029.14047241211,493850.58879852295,1287565.5889511108,60988519.191741943,0,0,13812031.269073486,0,0,8237576.4846801758,28912816.67949954,146.51177402029907,9638.058120239466,21046658.657518752
