county,year,table,sector,description,direct,indirect,induced,total
Arenac,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-5565.2645852853857,-7952.5170576423452,-13517.781642927734
Arenac,2014,Output,520,92 Government & non NAICs,0,-3011.3849587386567,-73.772908146379805,-3085.1578668850366
Barry,2014,Output,0,Total,-374218.15999999997,-92333.270892663597,-48941.026877762924,-515492.45777042647
Barry,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-30.158795396882155,-110.49382935329859,-140.65262475018076
Barry,2014,Output,20,21 Mining,0,-99.468586219267607,-42.104615402078771,-141.57320162134639
Barry,2014,Output,41,22 Utilities,0,-1813.3655773527546,-682.00291661385165,-2495.3684939666064
Barry,2014,Output,52,23 Construction,0,-3065.5056661385879,-942.33076245889526,-4007.8364285974831
Barry,2014,Output,65,31-33 Manufacturing,0,-380.53453534704431,-182.30266905591557,-562.83720440295986
Barry,2014,Output,395,42 Wholesale Trade,-374218.15999999997,-3891.667082777014,-1148.6847824897031,-379258.51186526672
Barry,2014,Output,396,44-45 Retail trade,0,-842.39611781606322,-4637.8602438466605,-5480.256361662724
Barry,2014,Output,408,48-49 Transportation & Warehousing,0,-8427.9289060876617,-501.20479520383128,-8929.1337012914919
Barry,2014,Output,417,51-56 Professional Services,0,-60782.144976058567,-26080.680998498145,-86862.825974556705
Barry,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-7797.7613803073045,-14001.513722847949,-21799.275103155254
Barry,2014,Output,520,92 Government & non NAICs,0,-5202.3392691624531,-611.84754199259453,-5814.1868111550475
Bay,2014,Output,0,Total,-1855366.3000000001,-399187.86144391226,-383633.52511206584,-2638187.6865559779
Bay,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-25.141645743617413,-227.1835803141052,-252.32522605772263
Bay,2014,Output,20,21 Mining,0,-91.431039054428396,-73.105392593983865,-164.53643164841228
Bay,2014,Output,41,22 Utilities,0,-29605.815666549133,-18254.184493486588,-47860.000160035721
Bay,2014,Output,52,23 Construction,0,-7965.4973827938702,-4546.1947369823738,-12511.692119776244
Bay,2014,Output,65,31-33 Manufacturing,0,-12507.047287268777,-2537.5119507836571,-15044.559238052436
Bay,2014,Output,395,42 Wholesale Trade,-1855366.3000000001,-42322.863054740475,-18666.501077992303,-1916355.6641327329
Bay,2014,Output,396,44-45 Retail trade,0,-4482.9621014190488,-45252.868942166555,-49735.831043585604
Bay,2014,Output,408,48-49 Transportation & Warehousing,0,-29869.709695300378,-6496.7918528824985,-36366.501548182874
Bay,2014,Output,417,51-56 Professional Services,0,-215881.84369023642,-145807.57215428262,-361689.41584451916
Bay,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-34827.618596594933,-136696.23748211327,-171523.8560787082
Bay,2014,Output,520,92 Government & non NAICs,0,-21607.931284211169,-5075.3734484679462,-26683.30473267912
Benzie,2014,Output,0,Total,-106269.11,-21990.074250275014,-8163.7792755978544,-136422.96352587288
Benzie,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-3.6664137988289891,-30.781721104470211,-34.448134903299206
Benzie,2014,Output,20,21 Mining,0,-37.707727978044993,-13.819697091886212,-51.527425069931205
Benzie,2014,Output,41,22 Utilities,0,-39.688870433830893,-31.764890419383885,-71.453760853214774
Benzie,2014,Output,52,23 Construction,0,-1042.1527689745167,-225.27362035060537,-1267.4263893251221
Benzie,2014,Output,65,31-33 Manufacturing,0,-80.988543130263579,-17.172451126610078,-98.160994256873693
Benzie,2014,Output,395,42 Wholesale Trade,-106269.11,-1083.757411407234,-197.40529779502774,-107550.27270920227
Benzie,2014,Output,396,44-45 Retail trade,0,-278.17059297754759,-1053.7648903134991,-1331.9354832910465
Benzie,2014,Output,408,48-49 Transportation & Warehousing,0,-1287.034373846968,-71.228310074964838,-1358.2626839219329
Benzie,2014,Output,417,51-56 Professional Services,0,-14426.588733934588,-3923.1334727693593,-18349.722206703951
Benzie,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-2381.6570168274352,-2574.5732514855931,-4956.2302683130301
Benzie,2014,Output,520,92 Government & non NAICs,0,-1328.6617969657575,-24.861673066455658,-1353.5234700322133
Berrien,2014,Output,0,Total,-2345685.5,-514234.06885359914,-540275.39026298642,-3400194.9591165851
Berrien,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-39.221995720570696,-1217.2139620846622,-1256.4359578052329
Berrien,2014,Output,20,21 Mining,0,-546.72741698068023,-579.25882985875398,-1125.9862468394342
Berrien,2014,Output,41,22 Utilities,0,-22117.287397638833,-16520.5234920318,-38637.810889670625
Berrien,2014,Output,52,23 Construction,0,-7505.2250226541219,-5893.6534423268859,-13398.878464981006
Berrien,2014,Output,65,31-33 Manufacturing,0,-17806.750569880955,-3321.0891737746379,-21127.839743655579
Berrien,2014,Output,395,42 Wholesale Trade,-2345685.5,-37714.759327471256,-20210.706418722599,-2403610.9657461937
Berrien,2014,Output,396,44-45 Retail trade,0,-4994.0697686840722,-60172.101567768266,-65166.171336452346
Berrien,2014,Output,408,48-49 Transportation & Warehousing,0,-73296.556715171639,-10402.48835794737,-83699.045073119007
Berrien,2014,Output,417,51-56 Professional Services,0,-264897.90828595537,-201605.16048519625,-466503.06877115142
Berrien,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-39851.609203212429,-198862.34208957932,-238713.95129279175
Berrien,2014,Output,520,92 Government & non NAICs,0,-45463.953150229165,-21490.852443695876,-66954.805593925033
Branch,2014,Output,0,Total,-705841.25,-142847.12046801823,-95397.055228911064,-944085.42569692922
Branch,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-46.172338631721011,-551.15725713373297,-597.32959576545397
Branch,2014,Output,20,21 Mining,0,-298.96949599306959,-223.65031593163647,-522.61981192470603
Branch,2014,Output,41,22 Utilities,0,-5077.9990444181931,-2673.210630103963,-7751.2096745221561
Branch,2014,Output,52,23 Construction,0,-4100.6224366958122,-1950.933062672555,-6051.5554993683672
Branch,2014,Output,65,31-33 Manufacturing,0,-933.70986460291454,-718.21758042244051,-1651.9274450253558
Branch,2014,Output,395,42 Wholesale Trade,-705841.25,-16130.854410529137,-5464.4682247627961,-727436.57263529196
Branch,2014,Output,396,44-45 Retail trade,0,-1653.0607364048929,-12996.90372698988,-14649.964463394774
Branch,2014,Output,408,48-49 Transportation & Warehousing,0,-23675.361762629669,-2863.3371616933055,-26538.698924322976
Branch,2014,Output,417,51-56 Professional Services,0,-71696.174242654277,-41969.332629803728,-113665.50687245799
Branch,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-11761.040190268957,-24390.928997355131,-36151.96918762409
Branch,2014,Output,520,92 Government & non NAICs,0,-7473.1559451895737,-1594.9156420418935,-9068.0715872314686
Calhoun,2014,Output,0,Total,-2359911,-428293.96563153761,-480460.34969352768,-3268665.315325066
Calhoun,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-17.63245615712173,-99.274925633449286,-116.90738179057102
Calhoun,2014,Output,20,21 Mining,0,-621.75470079134766,-68.794281980313812,-690.54898277166137
Calhoun,2014,Output,41,22 Utilities,0,-10914.508380413543,-8829.7418301387224,-19744.250210552262
Calhoun,2014,Output,52,23 Construction,0,-8236.2644337944366,-5733.4579584627627,-13969.722392257199
Calhoun,2014,Output,65,31-33 Manufacturing,0,-17574.776019830253,-2742.3932074728727,-20317.169227303126
Calhoun,2014,Output,395,42 Wholesale Trade,-2359911,-41381.815477252007,-24181.371283794306,-2425474.1867610463
Calhoun,2014,Output,396,44-45 Retail trade,0,-4008.9396286192323,-54889.798456172299,-58898.738084791534
Calhoun,2014,Output,408,48-49 Transportation & Warehousing,0,-64901.885002144474,-10940.593833347588,-75842.478835492075
Calhoun,2014,Output,417,51-56 Professional Services,0,-229823.75045265848,-173641.95575163671,-403465.70620429522
Calhoun,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-32865.889714592166,-197970.36905686071,-230836.25877145288
Calhoun,2014,Output,520,92 Government & non NAICs,0,-17946.749365284573,-1362.5991080280205,-19309.348473312595
Cass,2014,Output,0,Total,-659305.75,-106869.39879412561,-66837.757615926588,-833012.90641005209
Cass,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-13.440424274572724,-119.79220148993417,-133.23262576450688
Cass,2014,Output,20,21 Mining,0,-43.670558542894803,-29.726487824003907,-73.397046366898692
Cass,2014,Output,41,22 Utilities,0,-6827.2776956586167,-2886.4949954688864,-9713.7726911275022
Cass,2014,Output,52,23 Construction,0,-3638.6087403022357,-1092.653190206313,-4731.2619305085491
Cass,2014,Output,65,31-33 Manufacturing,0,-1090.7105043032714,-94.075695299036624,-1184.7861996023078
Cass,2014,Output,395,42 Wholesale Trade,-659305.75,-13505.985580861569,-4464.3666302275906,-677276.10221108911
Cass,2014,Output,396,44-45 Retail trade,0,-782.80399342610292,-6251.2138738586127,-7034.0178672847151
Cass,2014,Output,408,48-49 Transportation & Warehousing,0,-11138.995346852906,-1967.2789625077144,-13106.274309360621
Cass,2014,Output,417,51-56 Professional Services,0,-53496.447632344978,-33086.37262894342,-86582.820261288391
Cass,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-10300.242241573804,-16568.244917724831,-26868.487159298635
Cass,2014,Output,520,92 Government & non NAICs,0,-6031.2160759846629,-277.53803237623998,-6308.754108360903
Charlevoix,2014,Output,0,Total,-134765.54999999999,-28960.487456469167,-16797.988200573338,-180524.02565704248
Charlevoix,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-2.8312535348759353,-42.361803777384679,-45.193057312260635
Charlevoix,2014,Output,20,21 Mining,0,-12.453240651974896,-6.7461844882256683,-19.199425140200567
Charlevoix,2014,Output,41,22 Utilities,0,-1919.7639974587944,-731.57765025445087,-2651.3416477132455
Charlevoix,2014,Output,52,23 Construction,0,-1111.2777114080293,-383.43675062286343,-1494.7144620308927
Charlevoix,2014,Output,65,31-33 Manufacturing,0,-156.50673297686271,-19.58286189811917,-176.08959487498194
Charlevoix,2014,Output,395,42 Wholesale Trade,-134765.54999999999,-978.79480115175829,-279.91172467632509,-136024.25652582807
Charlevoix,2014,Output,396,44-45 Retail trade,0,-314.50138857428664,-1876.2374403026881,-2190.7388288769744
Charlevoix,2014,Output,408,48-49 Transportation & Warehousing,0,-2068.1930088944473,-263.37832909168776,-2331.5713379861349
Charlevoix,2014,Output,417,51-56 Professional Services,0,-18559.356992335266,-7186.5985435891052,-25745.95553592436
Charlevoix,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-2394.666397107746,-5964.3621041071456,-8359.0285012148906
Charlevoix,2014,Output,520,92 Government & non NAICs,0,-1442.1419323751236,-43.794807765340877,-1485.9367401404645
Cheboygan,2014,Output,0,Total,-178109.22,-43154.059424147737,-19939.091227406439,-241202.37065155417
Cheboygan,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-9.2146164213022193,-54.173958799456209,-63.388575220758433
Cheboygan,2014,Output,20,21 Mining,0,-74.584573319161436,-34.115419723042891,-108.69999304220433
Cheboygan,2014,Output,41,22 Utilities,0,-1062.7303262391779,-387.38148068842207,-1450.1118069275999
Cheboygan,2014,Output,52,23 Construction,0,-1597.8824378378224,-458.79757181044931,-2056.6800096482716
Cheboygan,2014,Output,65,31-33 Manufacturing,0,-212.61488041151006,-67.683358865795554,-280.29823927730564
Cheboygan,2014,Output,395,42 Wholesale Trade,-178109.22,-2165.0337045407214,-506.21452813154468,-180780.46823267225
Cheboygan,2014,Output,396,44-45 Retail trade,0,-548.36943623925458,-2722.5322890884358,-3270.9017253276907
Cheboygan,2014,Output,408,48-49 Transportation & Warehousing,0,-10871.71771013328,-497.61551547346329,-11369.333225606746
Cheboygan,2014,Output,417,51-56 Professional Services,0,-22028.097129346577,-9269.6027448983386,-31297.699874244918
Cheboygan,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-4583.8146096589317,-5940.9743599274925,-10524.788969586425
Cheboygan,2014,Output,520,92 Government & non NAICs,0,0,0,0
Chippewa,2014,Output,0,Total,-862751.93999999994,-230167.78020747769,-63176.371996321235,-1156096.0922037992
Chippewa,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-22.095681745251682,-81.376235561386281,-103.47191730663795
Chippewa,2014,Output,20,21 Mining,0,-653.38221418685532,-160.06261269668053,-813.44482688353582
Chippewa,2014,Output,41,22 Utilities,0,-13262.618565872208,-2533.8953856874491,-15796.513951559658
Chippewa,2014,Output,52,23 Construction,0,-3432.1987840332927,-711.1330578654464,-4143.3318418987392
Chippewa,2014,Output,65,31-33 Manufacturing,0,-2834.73597760657,-175.78233274453859,-3010.5183103511099
Chippewa,2014,Output,395,42 Wholesale Trade,-862751.93999999994,-40304.709286551457,-5299.8278339897106,-908356.47712054115
Chippewa,2014,Output,396,44-45 Retail trade,0,-2419.4134976629971,-9196.9916672686632,-11616.405164931661
Chippewa,2014,Output,408,48-49 Transportation & Warehousing,0,-39908.284053503368,-1447.7456598850465,-41356.029713388423
Chippewa,2014,Output,417,51-56 Professional Services,0,-81682.430418501812,-25189.698937588746,-106872.12935609061
Chippewa,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-19370.402849378235,-14807.22046538275,-34177.623314760989
Chippewa,2014,Output,520,92 Government & non NAICs,0,-26277.508878435656,-3572.6378076508154,-29850.146686086475
Clare,2014,Output,0,Total,-392926,-101278.67971703628,-37615.847033564729,-531820.52675060101
