county,year,industry,description,notused1,notused2,employment,laborinc,output
Branch,2014,228,Secondary processing of other nonferrous metals,,,473,39155890,685932500
Branch,2014,395,Wholesale trade,,,881,44085330,167205600
Branch,2014,441,Owner-occupied dwellings,,,0,0,154444400
Branch,2014,411,Truck transportation,,,584,43313290,103522900
Branch,2014,416,Warehousing and storage,,,870,43138570,94396400
Branch,2014,533,"* Employment and payroll of local govt, non-education",,,1082,64767660,72964510
Branch,2014,502,Limited-service restaurants,,,974,14249570,69119230
Branch,2014,534,"* Employment and payroll of local govt, education",,,774,52470760,59061550
Branch,2014,61,Construction of other new residential structures,,,215,4461741,57764080
Branch,2014,67,Flour milling,,,36,3051856,57130230
Calhoun,2014,356,Other motor vehicle parts manufacturing,,,3573,283439000,1929710000
Calhoun,2014,73,Breakfast cereal manufacturing,,,1139,136622900,1210007000
Calhoun,2014,351,Motor vehicle electrical and electronic equipment manufacturing,,,1922,101399500,729308200
Calhoun,2014,441,Owner-occupied dwellings,,,0,0,517945500
Calhoun,2014,395,Wholesale trade,,,2055,184075700,516927100
Calhoun,2014,535,"* Employment and payroll of federal govt, non-military",,,2605,274361300,404472600
Calhoun,2014,482,Hospitals,,,2533,173561300,346202900
Calhoun,2014,461,Management of companies and enterprises,,,1201,186758700,312318900
Calhoun,2014,456,Scientific research and development services,,,1162,119379000,299827700
Calhoun,2014,534,"* Employment and payroll of local govt, education",,,3897,258759200,291261600
Cass,2014,441,Owner-occupied dwellings,,,0,0,198095800
Cass,2014,195,Other plastics product manufacturing,,,494,23784300,122984900
Cass,2014,395,Wholesale trade,,,516,29058670,102212700
Cass,2014,534,"* Employment and payroll of local govt, education",,,1162,68820980,77465500
Cass,2014,14,"Animal production, except cattle and poultry and eggs",,,862,24840990,65762940
Cass,2014,2,Grain farming,,,172,3672078,53337570
Cass,2014,440,Real estate,,,614,4178840,51313060
Cass,2014,49,Electric power transmission and distribution,,,39,5071929,51221190
Cass,2014,193,Urethane and other foam product (except polystyrene) manufacturing,,,144,8803971,51029700
Cass,2014,61,Construction of other new residential structures,,,177,4912432,48792640
Charlevoix,2014,229,Ferrous metal foundries,,,517,42002520,170430500
Charlevoix,2014,195,Other plastics product manufacturing,,,580,35721110,153960700
Charlevoix,2014,49,Electric power transmission and distribution,,,106,11693740,134050300
Charlevoix,2014,441,Owner-occupied dwellings,,,0,0,108095500
Charlevoix,2014,440,Real estate,,,721,7674543,92425890
Charlevoix,2014,315,"Search, detection, and navigation instruments manufacturing",,,185,22883840,72171100
Charlevoix,2014,198,Other rubber product manufacturing,,,210,12724340,65016000
Charlevoix,2014,499,"Hotels and motels, including casino hotels",,,529,15966970,58195740
Charlevoix,2014,533,"* Employment and payroll of local govt, non-education",,,878,45420000,51168260
Charlevoix,2014,476,Offices of dentists,,,375,25605270,49823380
Cheboygan,2014,441,Owner-occupied dwellings,,,0,0,96683390
Cheboygan,2014,61,Construction of other new residential structures,,,192,3340095,51609550
Cheboygan,2014,440,Real estate,,,595,1497392,46265290
Cheboygan,2014,534,"* Employment and payroll of local govt, education",,,463,29956640,33719460
Cheboygan,2014,502,Limited-service restaurants,,,397,6735356,29830850
Cheboygan,2014,58,Construction of other new nonresidential structures,,,218,7377434,26944660
Cheboygan,2014,395,Wholesale trade,,,165,5636510,26872080
Cheboygan,2014,356,Other motor vehicle parts manufacturing,,,56,2375561,26427100
Cheboygan,2014,62,Maintenance and repair construction of nonresidential structures,,,191,6192986,26212340
Cheboygan,2014,536,"* Employment and payroll of federal govt, military",,,119,7118306,25291760
Chippewa,2014,441,Owner-occupied dwellings,,,0,0,147488000
Chippewa,2014,526,Other local government enterprises,,,592,25558080,131117300
Chippewa,2014,166,Plastics material and resin manufacturing,,,86,6212487,127234100
Chippewa,2014,395,Wholesale trade,,,940,14526080,127114600
Chippewa,2014,533,"* Employment and payroll of local govt, non-education",,,2307,110220000,124169200
Chippewa,2014,42,Electric power generation - Fossil  fuel,,,73,9044624,96109410
Chippewa,2014,534,"* Employment and payroll of local govt, education",,,1314,78247090,88075610
Chippewa,2014,531,"* Employment and payroll of state govt, non-education",,,775,63293520,71855240
Chippewa,2014,535,"* Employment and payroll of federal govt, non-military",,,390,45623240,67259320
Chippewa,2014,536,"* Employment and payroll of federal govt, military",,,244,15962950,56717310
