Alcona,-37988.7148756607,2001,0.0919125909855007
Allegan,-1670156.29106344,2001,0.0391295939929897
Alpena,-542860.11428725,2001,0.165632080629713
Antrim,-295593.59108018,2001,0.117693790899354
Arenac,-262102.534427228,2001,0.0918655675266807
Barry,-419051.686147419,2001,0.0879164214841664
Bay,-1590763.34601757,2001,0.0708017893616847
Benzie,-78061.9549345025,2001,0.0560173770676023
Berrien,-2630320.45912601,2001,0.138126228721314
Branch,-693043.135492944,2001,0.0422092537429067
Calhoun,-1587308.1650411,2001,0.0547254006290795
Cass,-590891.564110415,2001,0.0439459636260127
Charlevoix,-103740.64113222,2001,0.157001485787758
Cheboygan,-153050.534000587,2001,0.125068983184693
Chippewa,-120013.064289821,2001,0.102588175887737
Clare,-231972.162769527,2001,0.0849542987524834
Clinton,-897738.723300218,2001,0.0524244428637145
Crawford,-129476.353427742,2001,0.0318117840328977
Delta,-403791.475600801,2001,0.1881570242063
Dickinson,-529779.091110932,2001,0.113296702451547
Eaton,-1317293.50460714,2001,0.045571474579809
Emmet,-420512.5434615,2001,0.125264573898023
Genesee,-7396807.8666516,2001,0.174427022056276
Gladwin,-140302.98422348,2001,0.0299149675442429
Gogebic,-100896.702937638,2001,0.141591587050684
Grand Traverse,-1292340.08508263,2001,0.339547675252888
Gratiot,-729485.362478093,2001,0.042563234016289
Hillsdale,-515100.037731132,2001,0.0319494566600211
Houghton,-147956.251849064,2001,0.156451912443621
Huron,-377126.023503145,2001,0.166858554165815
Ingham,-4983824.68737273,2001,0.0975008469369588
Ionia,-519005.759758966,2001,0.0560794883718192
Iosco,-164583.057599143,2001,0.15812615664243
Iron,-65819.8968032041,2001,0.217081978651627
Isabella,-750480.076323352,2001,0.106493835018681
Jackson,-2537328.41932984,2001,0.0392937154558274
Kalamazoo,-5073777.36612902,2001,0.107933354194473
Kalkaska,-244533.728287288,2001,0.0288632680327004
Kent,-26283091.3959729,2001,0.276112522038586
Lake,-79381.989669242,2001,0.0309008627585892
Lapeer,-685186.828974936,2001,0.0246728368114627
Leelanau,-92151.5015162,2001,0.135977049949347
Lenawee,-777397.354222013,2001,0.0771352528797127
Livingston,-2643056.92243344,2001,0.0413948792660135
Mackinac,-121555.312891729,2001,0.093269651097328
Macomb,-13744829.7456017,2001,0.0537225727492914
Manistee,-170098.023251748,2001,0.0363452558162163
Marquette,-633214.443705935,2001,0.18504717120625
Mason,-292422.147549226,2001,0.0691927704531503
Mecosta,-200047.875565034,2001,0.0719485444618146
Menominee,-340221.431182293,2001,0.17982343969699
Midland,-609674.241449343,2001,0.18767958660529
Missaukee,-117616.857608999,2001,0.118416551979056
Monroe,-1426725.48960719,2001,0.0412283627525371
Montcalm,-383539.671943977,2001,0.116339695010303
Muskegon,-3588155.60796306,2001,0.0816013019174903
Newaygo,-338968.988365921,2001,0.163616209392297
Oakland,-70290221.9759184,2001,0.184171373107719
Oceana,-309631.900590276,2001,0.125343161785768
Ogemaw,-273503.839397784,2001,0.11454122796021
Osceola,-177715.055446471,2001,0.0873701685888541
Otsego,-617188.355397918,2001,0.0883253254609793
Ottawa,-4917319.51949905,2001,0.117156081936986
Presque Isle,-132609.558384161,2001,0.079298904820749
Roscommon,-181807.755740212,2001,0.0356874802014282
Saginaw,-3327959.06433617,2001,0.100897254603994
Sanilac,-344579.70278502,2001,0.0994289115193234
Shiawassee,-587081.792354617,2001,0.0435537234122436
St. Clair,-2273505.39130673,2001,0.155304888017176
St. Joseph,-695375.799032463,2001,0.0741421601941897
Tuscola,-736384.145686605,2001,0.068705508314804
Van Buren,-491618.12474602,2001,0.0885499852554829
Washtenaw,-7141791.81406253,2001,0.107415584262835
Wayne,-41346851.4931762,2001,0.132926513270886
Wexford,-373085.970128477,2001,0.163552702392746
