county,table,sector,description,direct,indirect,induced,total
Alpena,Employment,0,Total,-2.6276428699493408,-1.292951981818683,-0.77043898426763069,-4.6910338360356549
Alpena,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00060997216940715906,-0.0048148604915692478,-0.0054248326609764074
Alpena,Employment,20,21 Mining,0,-0.0023317283181083204,-0.00085683468120985697,-0.0031885629993181775
Alpena,Employment,41,22 Utilities,0,-0.0032080140868900168,-0.001634385720891981,-0.0048423998077819965
Alpena,Employment,52,23 Construction,0,-0.021711018066169055,-0.011684691420778545,-0.033395709486947603
Alpena,Employment,65,31-33 Manufacturing,0,-0.0033856633390639177,-0.0011155678139209888,-0.0045012311529849056
Alpena,Employment,395,42 Wholesale Trade,-2.6276428699493408,-0.06596853533740174,-0.023919355614105565,-2.7175307609008481
Alpena,Employment,396,44-45 Retail trade,0,-0.018045761295360122,-0.15946021120217149,-0.17750597249753161
Alpena,Employment,408,48-49 Transportation & Warehousing,0,-0.25001940285710383,-0.019113836152755095,-0.26913323900985897
Alpena,Employment,417,51-56 Professional Services,0,-0.79984622336724331,-0.17296886176242007,-0.97281508512966353
Alpena,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.11985745087548613,-0.368416478196887,-0.48827392907237294
Alpena,Employment,520,92 Government & non NAICs,0,-0.0079682121064492718,-0.0064539012109207667,-0.014422113317370039
Antrim,Output,0,Total,-137567.56,-28521.364478276555,-11517.509710968086,-177606.43418924464
Antrim,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-12.448976537532403,-77.088762593705738,-89.537739131238141
Antrim,Output,20,21 Mining,0,-91.685087737838529,-28.538978984425615,-120.22406672226416
Antrim,Output,41,22 Utilities,0,-30.097863814970623,-28.796610176004769,-58.894473990975392
Antrim,Output,52,23 Construction,0,-1276.791542444518,-337.70316507343694,-1614.4947075179548
Antrim,Output,65,31-33 Manufacturing,0,-170.79721162409751,-62.334800684534002,-233.13201230863152
Antrim,Output,395,42 Wholesale Trade,-137567.56,-1391.483243227005,-296.70974836359284,-139255.75299159059
Antrim,Output,396,44-45 Retail trade,0,-340.20154930181445,-1369.5202487631027,-1709.721798064917
Antrim,Output,408,48-49 Transportation & Warehousing,0,-5306.4747455654342,-250.38350722738434,-5556.8582527928193
Antrim,Output,417,51-56 Professional Services,0,-17316.287985947816,-5964.95738729611,-23281.245373243928
Antrim,Output,472,"61-72 Educational, Health, Recreation Service",0,-2585.0962720755256,-3101.4765018057897,-5686.572773881313
Antrim,Output,520,92 Government & non NAICs,0,0,0,0
Antrim,Employment,0,Total,-0.83954697847366333,-0.37076018514682074,-0.11569643964222696,-1.3260036032627109
Antrim,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00024000777454215717,-0.0011667438469861919,-0.0014067516215283491
Antrim,Employment,20,21 Mining,0,-0.00053916397860487655,-0.00016733840328750889,-0.00070650238189238546
Antrim,Employment,41,22 Utilities,0,-0.00011544059535140306,-0.0001116285228306358,-0.00022706911818203885
Antrim,Employment,52,23 Construction,0,-0.0099579768220970019,-0.0025188546337323154,-0.012476831455829318
Antrim,Employment,65,31-33 Manufacturing,0,-0.0015344880413090711,-0.00017202822198203558,-0.0017065162632911067
Antrim,Employment,395,42 Wholesale Trade,-0.83954697847366333,-0.008491940225165414,-0.0018107594608787181,-0.84984967815970747
Antrim,Employment,396,44-45 Retail trade,0,-0.0045938509312034373,-0.019888284113455765,-0.024482135044659199
Antrim,Employment,408,48-49 Transportation & Warehousing,0,-0.085536394061544965,-0.0030399756456955334,-0.08857636970724049
Antrim,Employment,417,51-56 Professional Services,0,-0.21452645880063401,-0.029470180706803756,-0.24399663950743777
Antrim,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.045224463916368439,-0.057350646086574503,-0.10257511000294292
Antrim,Employment,520,92 Government & non NAICs,0,0,0,0
Arenac,Output,0,Total,-240132.63000000001,-53368.474365299189,-22569.522953401367,-316070.6273187006
Arenac,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-14.42541055509518,-84.399448821965649,-98.824859377060832
Arenac,Output,20,21 Mining,0,-258.71599109281732,-87.872069812959396,-346.58806090577673
Arenac,Output,41,22 Utilities,0,-230.85335951065645,-182.5307864315688,-413.38414594222525
Arenac,Output,52,23 Construction,0,-1687.0229500408591,-425.77550129018528,-2112.7984513310444
Arenac,Output,65,31-33 Manufacturing,0,-102.38168399776006,-16.26775870024484,-118.64944269800492
Arenac,Output,395,42 Wholesale Trade,-240132.63000000001,-7419.640616769786,-1319.8595268771019,-248872.13014364688
Arenac,Output,396,44-45 Retail trade,0,-599.33322023888627,-2344.2173558247,-2943.550576063586
Arenac,Output,408,48-49 Transportation & Warehousing,0,-11113.741965313806,-670.14426860099184,-11783.886233914798
Arenac,Output,417,51-56 Professional Services,0,-26377.094582494141,-9485.9391793993036,-35863.033761893443
Arenac,Output,472,"61-72 Educational, Health, Recreation Service",0,-5565.2645852853857,-7952.5170576423452,-13517.781642927734
Arenac,Output,520,92 Government & non NAICs,0,0,0,0
Arenac,Employment,0,Total,-1.6508713960647583,-0.59348087542157035,-0.21841536653809152,-2.4627676380244199
Arenac,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.0002184859460476915,-0.0011110202728436798,-0.0013295062188913712
Arenac,Employment,20,21 Mining,0,-0.0016122943278777378,-0.00054529092666106551,-0.0021575852545388033
Arenac,Employment,41,22 Utilities,0,-0.0011174148573400763,-0.00088351589560119973,-0.0020009307529412759
Arenac,Employment,52,23 Construction,0,-0.013863225750219886,-0.0033449927846183058,-0.017208218534838192
Arenac,Employment,65,31-33 Manufacturing,0,-0.00070528462750013587,-9.1252968083783289E-05,-0.00079653759558391914
Arenac,Employment,395,42 Wholesale Trade,-1.6508713960647583,-0.051008779418666682,-0.0090738119199377364,-1.7109539874033628
Arenac,Employment,396,44-45 Retail trade,0,-0.0095372405066418784,-0.03516946750112341,-0.044706708007765286
Arenac,Employment,408,48-49 Transportation & Warehousing,0,-0.12282642876870423,-0.0060112507691470404,-0.12883767953785125
Arenac,Employment,417,51-56 Professional Services,0,-0.31262510309423863,-0.041607307790801948,-0.35423241088504065
Arenac,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.079966618124333505,-0.12057745570927336,-0.20054407383360681
Arenac,Employment,520,92 Government & non NAICs,0,0,0,0
Barry,Output,0,Total,-374218.15999999997,-92333.270892663597,-48941.026877762924,-515492.45777042652
Barry,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-30.158795396882155,-110.49382935329859,-140.65262475018076
Barry,Output,20,21 Mining,0,-99.468586219267607,-42.104615402078771,-141.57320162134639
Barry,Output,41,22 Utilities,0,-1813.3655773527546,-682.00291661385165,-2495.3684939666064
Barry,Output,52,23 Construction,0,-3065.5056661385879,-942.33076245889526,-4007.8364285974831
Barry,Output,65,31-33 Manufacturing,0,-380.53453534704431,-182.30266905591557,-562.83720440295986
Barry,Output,395,42 Wholesale Trade,-374218.15999999997,-3891.667082777014,-1148.6847824897031,-379258.51186526672
Barry,Output,396,44-45 Retail trade,0,-842.39611781606322,-4637.8602438466605,-5480.256361662724
Barry,Output,408,48-49 Transportation & Warehousing,0,-12591.121343363458,-638.13978995570176,-13229.26113331916
Barry,Output,417,51-56 Professional Services,0,-60782.144976058567,-26080.680998498145,-86862.825974556705
Barry,Output,472,"61-72 Educational, Health, Recreation Service",0,-7797.7613803073045,-14001.513722847949,-21799.275103155254
