county,table,sector,description,direct,indirect,induced,total
Dickinson,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-6.0176214343077978,-200.49322575955225,-206.51084719386003
Dickinson,Output,20,21 Mining,0,-91.188462251795087,-59.733647859893956,-150.92211011168902
Dickinson,Output,41,22 Utilities,0,-4975.2069375489837,-2814.8788265944136,-7790.0857641433977
Dickinson,Output,52,23 Construction,0,-2215.0932665086643,-1178.9052757546804,-3393.9985422633445
Dickinson,Output,65,31-33 Manufacturing,0,-3035.1955252691969,-833.62742042340597,-3868.8229456926028
Dickinson,Output,395,42 Wholesale Trade,-452791.71999999997,-6544.546803812962,-2536.3561389184188,-461872.62294273137
Dickinson,Output,396,44-45 Retail trade,0,-911.19348859196748,-8816.967430171715,-9728.1609187636841
Dickinson,Output,408,48-49 Transportation & Warehousing,0,-16197.700432179865,-2106.3761390682639,-18304.07657124813
Dickinson,Output,417,51-56 Professional Services,0,-34048.328517440685,-24404.963340161299,-58453.291857601987
Dickinson,Output,472,"61-72 Educational, Health, Recreation Service",0,-6197.0632029792541,-20136.012235416139,-26333.075438395397
Dickinson,Output,520,92 Government & non NAICs,0,0,0,0
Dickinson,Employment,0,Total,-2.0822646617889404,-0.69202651822620687,-0.59675268926512892,-3.371043869280276
Dickinson,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00013466522487562334,-0.0024891243579137959,-0.0026237895827894197
Dickinson,Employment,20,21 Mining,0,-0.0005420557961764086,-0.00035148842507969595,-0.00089354422125610461
Dickinson,Employment,41,22 Utilities,0,-0.0043002644574094097,-0.0024800496461361422,-0.0067803141035455514
Dickinson,Employment,52,23 Construction,0,-0.012232824997192551,-0.0062879602729413817,-0.018520785270133934
Dickinson,Employment,65,31-33 Manufacturing,0,-0.018900426333939842,-0.0021258992143467102,-0.021026325548286564
Dickinson,Employment,395,42 Wholesale Trade,-2.0822646617889404,-0.030096572022149728,-0.011664004780943028,-2.1240252385920328
Dickinson,Employment,396,44-45 Retail trade,0,-0.012091284365173101,-0.12184350572602581,-0.13393479009119891
Dickinson,Employment,408,48-49 Transportation & Warehousing,0,-0.14530847590160981,-0.016796635025027141,-0.16210511092663696
Dickinson,Employment,417,51-56 Professional Services,0,-0.37630773862371536,-0.089653246428000613,-0.46596098505171585
Dickinson,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.092112210503964953,-0.34306077538871455,-0.43517298589267966
Dickinson,Employment,520,92 Government & non NAICs,0,0,0,0
Eaton,Output,0,Total,-452791.71999999997,-76611.827692785635,-72682.551907335685,-602086.09960012138
Eaton,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-4.4975895984442218,-23.679488662573725,-28.177078261017947
Eaton,Output,20,21 Mining,0,-36.029553922563792,-32.573399702901384,-68.602953625465176
Eaton,Output,41,22 Utilities,0,-6.4087977055629013,-10.71030439435094,-17.119102099913842
Eaton,Output,52,23 Construction,0,-2243.5665908840906,-1184.9208668846225,-3428.4874577687128
Eaton,Output,65,31-33 Manufacturing,0,-298.59327063861667,-208.25037526676789,-506.84364590538445
Eaton,Output,395,42 Wholesale Trade,-452791.71999999997,-5028.2794795417576,-2380.0111905744343,-460200.01067011617
Eaton,Output,396,44-45 Retail trade,0,-726.17816143454638,-9600.9856957632655,-10327.163857197815
Eaton,Output,408,48-49 Transportation & Warehousing,0,-14403.541108589481,-2415.4462241674237,-16818.987332756908
Eaton,Output,417,51-56 Professional Services,0,-46027.911136760878,-35458.875094713156,-81486.786231474034
Eaton,Output,472,"61-72 Educational, Health, Recreation Service",0,-7706.3502621316256,-21229.082787000421,-28935.433049132051
Eaton,Output,520,92 Government & non NAICs,0,-130.47174157806671,-138.01648020576471,-268.48822178383142
Eaton,Employment,0,Total,-2.0568807125091553,-0.6958851783773643,-0.63553135879667455,-3.3882972496831942
Eaton,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00011104273723180735,-0.00057408913742011333,-0.00068513187465192072
Eaton,Employment,20,21 Mining,0,-0.00023530793773926531,-0.00017841419060528281,-0.00041372212834454809
Eaton,Employment,41,22 Utilities,0,-1.0852905995996284E-05,-1.8137243851448294E-05,-2.8990149847444578E-05
Eaton,Employment,52,23 Construction,0,-0.014653566963997059,-0.0074102908199934099,-0.022063857783990469
Eaton,Employment,65,31-33 Manufacturing,0,-0.0020770837624442878,-0.00047957216710640006,-0.0025566559295506883
Eaton,Employment,395,42 Wholesale Trade,-2.0568807125091553,-0.02284178545543147,-0.010811591761717584,-2.0905340897263045
Eaton,Employment,396,44-45 Retail trade,0,-0.0098223532947508217,-0.12871005656961818,-0.13853240986436902
Eaton,Employment,408,48-49 Transportation & Warehousing,0,-0.1217434728696157,-0.020135794017406054,-0.14187926688702177
Eaton,Employment,417,51-56 Professional Services,0,-0.40967627945610902,-0.11725438097152459,-0.52693066042763348
Eaton,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.11417564068082114,-0.34939014089738635,-0.46356578157820749
Eaton,Employment,520,92 Government & non NAICs,0,-0.00053779231322770478,-0.00056889102004507603,-0.0011066833332727807
Emmet,Output,0,Total,-276118.56,-77998.675363211471,-54232.000989550703,-408349.23635276221
Emmet,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-7.1803295401781568,-92.553271709430675,-99.73360124960881
Emmet,Output,20,21 Mining,0,-66.790511815321551,-34.150794596060919,-100.94130641138246
Emmet,Output,41,22 Utilities,0,-941.38007922882684,-486.28018724057233,-1427.6602664693992
Emmet,Output,52,23 Construction,0,-2388.1255972166173,-1025.8670761136241,-3413.9926733302418
Emmet,Output,65,31-33 Manufacturing,0,-1318.7431280987394,-522.18980343109479,-1840.9329315298342
Emmet,Output,395,42 Wholesale Trade,-276118.56,-2857.6923778152559,-1007.187940230628,-279983.4403180459
Emmet,Output,396,44-45 Retail trade,0,-893.13092688689653,-6237.5600254231767,-7130.690952310074
Emmet,Output,408,48-49 Transportation & Warehousing,0,-11915.286157440916,-817.29394049730934,-12732.580097938226
Emmet,Output,417,51-56 Professional Services,0,-45714.784469981278,-21493.739412174611,-67208.523882155889
Emmet,Output,472,"61-72 Educational, Health, Recreation Service",0,-6216.7548205086841,-20574.102379862295,-26790.857200370978
Emmet,Output,520,92 Government & non NAICs,0,-5678.8069646787644,-1941.0761582718988,-7619.8831229506632
Emmet,Employment,0,Total,-1.4831268787384033,-0.7266667088619706,-0.47599422364258526,-2.685787811242959
Emmet,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00037548293221167619,-0.0021056994452009581,-0.0024811823774126343
Emmet,Employment,20,21 Mining,0,-0.00035149418252099847,-0.00018311962818658717,-0.00053461381070758556
Emmet,Employment,41,22 Utilities,0,-0.00080801947637991695,-0.00046811921643027661,-0.0012761386928101933
Emmet,Employment,52,23 Construction,0,-0.016765677355936294,-0.007016857250307265,-0.02378253460624356
Emmet,Employment,65,31-33 Manufacturing,0,-0.0088503897570483946,-0.001179680157493036,-0.01003006991454143
Emmet,Employment,395,42 Wholesale Trade,-1.4831268787384033,-0.015349640337263796,-0.0054099499143392899,-1.5038864689900062
Emmet,Employment,396,44-45 Retail trade,0,-0.01192364032323512,-0.08082085384879964,-0.092744494172034772
Emmet,Employment,408,48-49 Transportation & Warehousing,0,-0.10740238077873637,-0.00728005179258015,-0.11468243257131652
Emmet,Employment,417,51-56 Professional Services,0,-0.4273552422894446,-0.095621662829779755,-0.52297690511922457
Emmet,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.11224394038375896,-0.26728065735465245,-0.3795245977384113
Emmet,Employment,520,92 Government & non NAICs,0,-0.025240801045434469,-0.0086275722048158657,-0.033868373250250335
Genesee,Output,0,Total,-6461236,-1978864.6830785968,-1968245.6369626245,-10408346.320041221
Genesee,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-46.156861256684515,-313.10379251027803,-359.26065376696255
Genesee,Output,20,21 Mining,0,-1894.3874273287195,-1767.7658359640561,-3662.1532632927756
Genesee,Output,41,22 Utilities,0,-72274.016302971126,-55007.453892622099,-127281.47019559323
Genesee,Output,52,23 Construction,0,-39125.620698906598,-25458.172803095636,-64583.793502002234
Genesee,Output,65,31-33 Manufacturing,0,-15474.967776109857,-10906.336233353184,-26381.304009463041
Genesee,Output,395,42 Wholesale Trade,-6461236,-147449.23009729385,-83335.492796668128,-6692020.7228939617
Genesee,Output,396,44-45 Retail trade,0,-17553.562252120668,-198235.05890983588,-215788.62116195652
Genesee,Output,408,48-49 Transportation & Warehousing,0,-389007.79062272247,-55927.57004611483,-444935.36066883738
Genesee,Output,417,51-56 Professional Services,0,-1155904.8535076026,-842433.51915768371,-1998338.3726652868
Genesee,Output,472,"61-72 Educational, Health, Recreation Service",0,-133105.7732538002,-687216.47652469401,-820322.24977849412
Genesee,Output,520,92 Government & non NAICs,0,-7028.3242784840986,-7644.6869700827056,-14673.011248566803
Genesee,Employment,0,Total,-30.380266189575195,-17.343481460278941,-17.678301114348866,-65.402048764203016
Genesee,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00087510922490780928,-0.0059773228692792946,-0.0068524320941871029
Genesee,Employment,20,21 Mining,0,-0.003390766477008182,-0.0031261876887339452,-0.0065169541657421276
Genesee,Employment,41,22 Utilities,0,-0.059780231584489571,-0.048428144345293508,-0.10820837592978308
Genesee,Employment,52,23 Construction,0,-0.26968789544654359,-0.16888549676569645,-0.43857339221224001
Genesee,Employment,65,31-33 Manufacturing,0,-0.10054479084660312,-0.023164227373591278,-0.12370901822019438
Genesee,Employment,395,42 Wholesale Trade,-30.380266189575195,-0.69329565797347781,-0.39183748380976063,-31.465399331358434
Genesee,Employment,396,44-45 Retail trade,0,-0.23806536823869545,-2.6620435214577487,-2.9001088896964444
Genesee,Employment,408,48-49 Transportation & Warehousing,0,-3.3487222396992613,-0.42890575598259612,-3.7776279956818577
Genesee,Employment,417,51-56 Professional Services,0,-10.24000082007281,-4.0196718600850589,-14.259672680157875
Genesee,Employment,472,"61-72 Educational, Health, Recreation Service",0,-2.3712571767619086,-9.906833319142871,-12.278090495904777
Genesee,Employment,520,92 Government & non NAICs,0,-0.017861403953237258,-0.019427794828235676,-0.037289198781472938
Gladwin,Output,0,Total,-50167.641000000003,-7624.954831947367,-2711.8595079640604,-60504.45533991143
Gladwin,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-1.3033359414222323,-13.702671526825984,-15.006007468248219
Gladwin,Output,20,21 Mining,0,-1.1577807176230137,-0.88947260435352349,-2.0472533219765374
Gladwin,Output,41,22 Utilities,0,-60.838256309119345,-13.41793253169476,-74.256188840814104
Gladwin,Output,52,23 Construction,0,-324.90117436621875,-55.212940371216177,-380.11411473743493
Gladwin,Output,65,31-33 Manufacturing,0,-23.063379738866985,-18.32372940605098,-41.387109144917964
Gladwin,Output,395,42 Wholesale Trade,-50167.641000000003,-219.91904526865255,-33.500233484672989,-50421.060278753328
Gladwin,Output,396,44-45 Retail trade,0,-102.48166537420488,-427.01775170964862,-529.49941708385347
Gladwin,Output,408,48-49 Transportation & Warehousing,0,-1369.7845397013036,-30.388514017263105,-1400.1730537185667
Gladwin,Output,417,51-56 Professional Services,0,-4419.3312969528015,-1343.4666111687222,-5762.7979081215244
Gladwin,Output,472,"61-72 Educational, Health, Recreation Service",0,-1102.1743575771545,-775.9396511436122,-1878.1140087207662
Gladwin,Output,520,92 Government & non NAICs,0,0,0,0
Gladwin,Employment,0,Total,-0.34424740076065063,-0.080323222506961597,-0.024149739771867358,-0.4487203630394796
Gladwin,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-4.8443131041197143E-05,-0.0003069284254907263,-0.00035537155653192341
Gladwin,Employment,20,21 Mining,0,-4.2503796992179155E-06,-3.2172485932687084E-06,-7.467628292486623E-06
Gladwin,Employment,41,22 Utilities,0,-6.7098533745103643E-05,-1.4798643429107957E-05,-8.18971771742116E-05
Gladwin,Employment,52,23 Construction,0,-0.002295553675495048,-0.00036972317303787382,-0.0026652768485329217
Gladwin,Employment,65,31-33 Manufacturing,0,-0.00014735946349137065,-1.9124798616592899E-05,-0.00016648426210796351
Gladwin,Employment,395,42 Wholesale Trade,-0.34424740076065063,-0.0015090714734640324,-0.00022987661957311445,-0.34598634885368779
Gladwin,Employment,396,44-45 Retail trade,0,-0.0012960788556534064,-0.0054972722397763291,-0.0067933510954297331
Gladwin,Employment,408,48-49 Transportation & Warehousing,0,-0.015755581175591629,-0.00027499819822134807,-0.016030579373812977
Gladwin,Employment,417,51-56 Professional Services,0,-0.043970117065104612,-0.003590070992028687,-0.047560188057133301
Gladwin,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.015229668753675967,-0.013843729433100312,-0.029073398186776286
Gladwin,Employment,520,92 Government & non NAICs,0,0,0,0
Gogebic,Output,0,Total,-123897.91,-28115.056840249421,-17176.000067804347,-169188.96690805382
Gogebic,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-6.1292579960376932,-38.640450518329644,-44.769708514367338
Gogebic,Output,20,21 Mining,0,-204.21080437268151,-73.09601927165734,-277.30682364433886
Gogebic,Output,41,22 Utilities,0,-421.2664397534673,-196.14463316814076,-617.41107292160802
Gogebic,Output,52,23 Construction,0,-333.86464034182399,-117.97125732983213,-451.83589767165608
Gogebic,Output,65,31-33 Manufacturing,0,-97.59447139402981,-17.734833709476284,-115.32930510350606
Gogebic,Output,395,42 Wholesale Trade,-123897.91,-1685.2468763482611,-479.69275313499526,-126062.84962948326
Gogebic,Output,396,44-45 Retail trade,0,-250.77551831512179,-2079.5149192411245,-2330.2904375562466
Gogebic,Output,408,48-49 Transportation & Warehousing,0,-4770.2378381495619,-353.69668270501631,-5123.9345208545783
Gogebic,Output,417,51-56 Professional Services,0,-13964.606378613318,-6805.3713099282431,-20769.977688541567
Gogebic,Output,472,"61-72 Educational, Health, Recreation Service",0,-2121.9173967890629,-5800.1208808910969,-7922.0382776801616
Gogebic,Output,520,92 Government & non NAICs,0,-4259.2072181760523,-1214.0163279064375,-5473.2235460824895
Gogebic,Employment,0,Total,-0.70731520652770996,-0.24460942564290444,-0.14572420670459857,-1.097648838875213
Gogebic,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00010974043202681747,-0.00083195680431512136,-0.00094169723634193888
Gogebic,Employment,20,21 Mining,0,-0.0012688886098288826,-0.00045340826700889859,-0.0017222968768377811
Gogebic,Employment,41,22 Utilities,0,-0.00034548366274233622,-0.00017758271246575341,-0.00052306637520808962
Gogebic,Employment,52,23 Construction,0,-0.0023964984035049356,-0.00082604409332789593,-0.0032225424968328315
Gogebic,Employment,65,31-33 Manufacturing,0,-0.00072905127292158115,-9.673975758335584E-05,-0.00082579103050493688
Gogebic,Employment,395,42 Wholesale Trade,-0.70731520652770996,-0.0096208299964319673,-0.002738496355164574,-0.71967453287930649
Gogebic,Employment,396,44-45 Retail trade,0,-0.0034841976675609922,-0.028968791886385632,-0.032452989553946626
Gogebic,Employment,408,48-49 Transportation & Warehousing,0,-0.059455859829511869,-0.0043202937925740916,-0.063776153622085954
Gogebic,Employment,417,51-56 Professional Services,0,-0.11660437952982632,-0.024671804712031804,-0.14127618424185814
Gogebic,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.031768047640590789,-0.077272921611571066,-0.10904096925216185
Gogebic,Employment,520,92 Government & non NAICs,0,-0.018826448597957918,-0.005366166712170389,-0.024192615310128306
Grand Traverse,Output,0,Total,-1716066.3999999999,-573677.63514024694,-451804.59434773575,-2741548.6294879825
Grand Traverse,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-30.859330663202947,-679.45606075252113,-710.31539141572398
Grand Traverse,Output,20,21 Mining,0,-9737.4241057456438,-7003.1491329102364,-16740.573238655878
Grand Traverse,Output,41,22 Utilities,0,-20078.475226999977,-11802.596334629598,-31881.071561629578
Grand Traverse,Output,52,23 Construction,0,-13789.051821756688,-7191.5207997916295,-20980.572621548316
Grand Traverse,Output,65,31-33 Manufacturing,0,-21682.588303663251,-16786.269388179655,-38468.857691842873
Grand Traverse,Output,395,42 Wholesale Trade,-1716066.3999999999,-41024.270501518156,-16730.439741658887,-1773821.110243177
Grand Traverse,Output,396,44-45 Retail trade,0,-6225.5841955633023,-44678.633730031048,-50904.217925594348
Grand Traverse,Output,408,48-49 Transportation & Warehousing,0,-76332.96239533319,-7577.8138248703135,-83910.776220203494
Grand Traverse,Output,417,51-56 Professional Services,0,-343795.71473403327,-189581.15117478572,-533376.8659088189
Grand Traverse,Output,472,"61-72 Educational, Health, Recreation Service",0,-40980.07803049971,-149772.46524284993,-190752.5432733497
Grand Traverse,Output,520,92 Government & non NAICs,0,-0.6264944705021207,-1.0989172762479795,-1.7254117467501002
Grand Traverse,Employment,0,Total,-8.6803216934204102,-4.7088283575158263,-3.7751265866311901,-17.164276637567426
Grand Traverse,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00075896715415972875,-0.010756015421365775,-0.011514982575525508
Grand Traverse,Employment,20,21 Mining,0,-0.0583827108641259,-0.041908677267797338,-0.10029138813192325
Grand Traverse,Employment,41,22 Utilities,0,-0.017631138538560027,-0.012261961359549222,-0.029893099898109246
Grand Traverse,Employment,52,23 Construction,0,-0.08989084902121755,-0.045514739837420437,-0.13540558885863799
Grand Traverse,Employment,65,31-33 Manufacturing,0,-0.056944238976671821,-0.0199798881322273,-0.076924127108899149
Grand Traverse,Employment,395,42 Wholesale Trade,-8.6803216934204102,-0.20751170725524432,-0.084627028621853187,-8.9724604292975076
Grand Traverse,Employment,396,44-45 Retail trade,0,-0.078789013055909796,-0.57075402599840219,-0.6495430390543121
Grand Traverse,Employment,408,48-49 Transportation & Warehousing,0,-0.70207519657838613,-0.066278689511109101,-0.76835388608949518
Grand Traverse,Employment,417,51-56 Professional Services,0,-2.7904360634291425,-0.93436171925973399,-3.7247977826888761
Grand Traverse,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.70627041719304395,-1.9884416818324149,-2.6947120990254589
Grand Traverse,Employment,520,92 Government & non NAICs,0,-0.00013805544936492154,-0.00024215938931703131,-0.00038021483868195285
Gratiot,Output,0,Total,-1246613.3000000001,-145892.62177967775,-320279.23847591243,-1712785.1602555902
Gratiot,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-99.866595606573881,-2403.5730154213061,-2503.4396110278794
Gratiot,Output,20,21 Mining,0,-133.76899656758829,-195.33996785514057,-329.10896442272889
Gratiot,Output,41,22 Utilities,0,-9990.3423966147366,-14166.492965254332,-24156.835361869074
Gratiot,Output,52,23 Construction,0,-2114.4992492557344,-3147.2387867974621,-5261.738036053197
Gratiot,Output,65,31-33 Manufacturing,0,-2145.5677282415695,-4345.8628406152129,-6491.4305688567829
Gratiot,Output,395,42 Wholesale Trade,-1246613.3000000001,-25987.804035842419,-26866.590981602221,-1299467.6950174447
Gratiot,Output,396,44-45 Retail trade,0,-1312.7607775131694,-33020.078523839889,-34332.839301353066
Gratiot,Output,408,48-49 Transportation & Warehousing,0,-21430.989719335179,-8417.3029778272521,-29848.292697162433
Gratiot,Output,417,51-56 Professional Services,0,-69420.137519201526,-119730.94969813616,-189151.08721733769
Gratiot,Output,472,"61-72 Educational, Health, Recreation Service",0,-13256.884761499239,-107985.80871856347,-121242.69348006275
Gratiot,Output,520,92 Government & non NAICs,0,0,0,0
Gratiot,Employment,0,Total,-3.960209846496582,-1.329261191816653,-2.6757722434828963,-7.9652432817961323
Gratiot,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00043975574033286154,-0.012235414867607986,-0.012675170607940847
Gratiot,Employment,20,21 Mining,0,-0.00042365051421084483,-0.00070127956095215047,-0.0011249300751629953
Gratiot,Employment,41,22 Utilities,0,-0.0073960874685951254,-0.011060368692543189,-0.018456456161138311
Gratiot,Employment,52,23 Construction,0,-0.016204851455283907,-0.022789432615570284,-0.038994284070854188
Gratiot,Employment,65,31-33 Manufacturing,0,-0.012144002758890608,-0.0093012777042864904,-0.021445280463177105
Gratiot,Employment,395,42 Wholesale Trade,-3.960209846496582,-0.082557407884582573,-0.085349116342314402,-4.1281163707234789
Gratiot,Employment,396,44-45 Retail trade,0,-0.018451326473609482,-0.45832643758576364,-0.47677776405937311
Gratiot,Employment,408,48-49 Transportation & Warehousing,0,-0.23181152561277857,-0.069833194237926263,-0.30164471985070485
Gratiot,Employment,417,51-56 Professional Services,0,-0.79560253642281031,-0.49424623268294726,-1.2898487691057579
Gratiot,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.16423004748555869,-1.5119294891929844,-1.6761595366785438
Gratiot,Employment,520,92 Government & non NAICs,0,0,0,0
Hillsdale,Output,0,Total,-323094.81,-57965.823326663252,-36513.158600304479,-417573.7919269678
Hillsdale,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-17.945162292091123,-189.37289840680347,-207.31806069889453
Hillsdale,Output,20,21 Mining,0,-104.23991650854401,-59.658295109150636,-163.89821161769464
Hillsdale,Output,41,22 Utilities,0,-757.86619455230345,-341.679787038764,-1099.5459815910674
Hillsdale,Output,52,23 Construction,0,-1699.783754677298,-695.64043113477487,-2395.4241858120727
Hillsdale,Output,65,31-33 Manufacturing,0,-936.74149187251362,-248.40346162803536,-1185.1449535005493
Hillsdale,Output,395,42 Wholesale Trade,-323094.81,-3456.6096929848427,-1144.9771318005321,-327696.39682478539
Hillsdale,Output,396,44-45 Retail trade,0,-645.08418357318214,-5621.8271360072058,-6266.9113195803875
Hillsdale,Output,408,48-49 Transportation & Warehousing,0,-7062.5859915185911,-734.37337209922998,-7796.9593636178215
Hillsdale,Output,417,51-56 Professional Services,0,-38059.320649531721,-17552.26560497567,-55611.586254507398
Hillsdale,Output,472,"61-72 Educational, Health, Recreation Service",0,-4649.5384298657727,-9600.4421984430501,-14249.980628308816
Hillsdale,Output,520,92 Government & non NAICs,0,-576.10785928639348,-324.51828366126608,-900.62614294765956
Hillsdale,Employment,0,Total,-1.7073525190353394,-0.5977310041703906,-0.34882499490382141,-2.6539085181095516
Hillsdale,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00021514461106075878,-0.0033914908792452695,-0.0036066354903060284
Hillsdale,Employment,20,21 Mining,0,-0.00065372770617400046,-0.00037735822561705108,-0.0010310859317910516
Hillsdale,Employment,41,22 Utilities,0,-0.00054191127710199463,-0.00024488146005953562,-0.0007867927371615303
Hillsdale,Employment,52,23 Construction,0,-0.013114707364822318,-0.0051132163044879577,-0.018227923669310277
Hillsdale,Employment,65,31-33 Manufacturing,0,-0.0067329288331206601,-0.00075339493206796253,-0.0074863237651886204
Hillsdale,Employment,395,42 Wholesale Trade,-1.7073525190353394,-0.018266005435054355,-0.0060504830947290793,-1.7316690075651227
Hillsdale,Employment,396,44-45 Retail trade,0,-0.0090140867908399674,-0.076120815285891735,-0.085134902076731689
Hillsdale,Employment,408,48-49 Transportation & Warehousing,0,-0.06289988473682577,-0.0054379484448889518,-0.068337833181714727
Hillsdale,Employment,417,51-56 Professional Services,0,-0.40893051135060077,-0.072620405727083975,-0.4815509170776846
Hillsdale,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.07518847103880727,-0.17749060992326399,-0.2526790809620712
Hillsdale,Employment,520,92 Government & non NAICs,0,-0.0021736250259828328,-0.0012243906264859101,-0.003398015652468743
Houghton,Output,0,Total,-283193.40999999997,-49604.876964670635,-39333.828902873589,-372132.1158675442
Houghton,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-15.744641768708888,-69.603970425448423,-85.348612194157312
Houghton,Output,20,21 Mining,0,-39.119106391198507,-19.990694840302279,-59.109801231500782
Houghton,Output,41,22 Utilities,0,-3005.9305053534899,-1376.6557812126503,-4382.5862865661402
Houghton,Output,52,23 Construction,0,-1616.9537841480685,-692.40711393579022,-2309.3608980838585
Houghton,Output,65,31-33 Manufacturing,0,-637.10128313445978,-203.16894080205148,-840.27022393651134
Houghton,Output,395,42 Wholesale Trade,-283193.40999999997,-3626.9288067042944,-1111.359562087632,-287931.6983687919
Houghton,Output,396,44-45 Retail trade,0,-692.53106351965573,-5291.1152240876427,-5983.6462876072983
Houghton,Output,408,48-49 Transportation & Warehousing,0,-9475.9917038135191,-336.71862774934812,-9812.7103315628665
Houghton,Output,417,51-56 Professional Services,0,-26579.238520924049,-16261.31610363087,-42840.554624554941
Houghton,Output,472,"61-72 Educational, Health, Recreation Service",0,-3915.3375489131895,-13971.492884101857,-17886.830433015031
Houghton,Output,520,92 Government & non NAICs,0,0,0,0
Houghton,Employment,0,Total,-1.5683029890060425,-0.49371842452401915,-0.38739417529997872,-2.4494155888300404
Houghton,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00026469316610866213,-0.0012110200004691975,-0.0014757131665778592
Houghton,Employment,20,21 Mining,0,-6.998992444372083E-05,-5.7640883872356623E-05,-0.00012763080831607745
Houghton,Employment,41,22 Utilities,0,-0.0025433967825154863,-0.0013565922279005259,-0.0038999890104160122
Houghton,Employment,52,23 Construction,0,-0.010863835401016462,-0.0044486303913088615,-0.015312465792325324
Houghton,Employment,65,31-33 Manufacturing,0,-0.0044221135570200474,-0.00060924029467550355,-0.0050313538516955497
Houghton,Employment,395,42 Wholesale Trade,-1.5683029890060425,-0.020085647219594781,-0.006154622075005476,-1.5945432583006427
Houghton,Employment,396,44-45 Retail trade,0,-0.0099168094067427718,-0.075506719859870314,-0.085423529266613091
Houghton,Employment,408,48-49 Transportation & Warehousing,0,-0.10337071855403594,-0.0036051683089724368,-0.10697588686300838
Houghton,Employment,417,51-56 Professional Services,0,-0.26894394757612289,-0.065672732481775242,-0.33461668005789813
Houghton,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.073237272936418379,-0.22877180877612879,-0.30200908171254726
Houghton,Employment,520,92 Government & non NAICs,0,0,0,0
Huron,Output,0,Total,-308273.81,-60553.006072653559,-51629.581955094916,-420456.39802774845
Huron,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-42.140281830861305,-267.75774878428768,-309.89803061514903
Huron,Output,20,21 Mining,0,-493.27694752445257,-333.42534783857542,-826.70229536302804
Huron,Output,41,22 Utilities,0,-4412.1044689369101,-2316.8766182380327,-6728.9810871749423
Huron,Output,52,23 Construction,0,-1032.9324239934808,-790.53769517387605,-1823.4701191673571
Huron,Output,65,31-33 Manufacturing,0,-404.38210225233939,-221.65998892087657,-626.04209117321625
Huron,Output,395,42 Wholesale Trade,-308273.81,-3624.563918149448,-1358.6540966328535,-313257.02801478229
Huron,Output,396,44-45 Retail trade,0,-577.74596250686693,-6274.5720331435805,-6852.3179956504464
Huron,Output,408,48-49 Transportation & Warehousing,0,-8101.7726122368194,-1312.8974307138001,-9414.67004295062
Huron,Output,417,51-56 Professional Services,0,-36010.963144090005,-22054.145597677176,-58065.108741767173
Huron,Output,472,"61-72 Educational, Health, Recreation Service",0,-5402.1679431310631,-16343.995084751285,-21746.163027882347
Huron,Output,520,92 Government & non NAICs,0,-450.95626800131055,-355.06031322057692,-806.01658122188746
Huron,Employment,0,Total,-1.5853457450866699,-0.57530500738701862,-0.43807159877897578,-2.5987223512526643
Huron,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.0001384066444417007,-0.0011228206664921968,-0.0012612273109338977
Huron,Employment,20,21 Mining,0,-0.00080053169208428772,-0.00056376085486274749,-0.0013642925469470356
Huron,Employment,41,22 Utilities,0,-0.0031969220437641655,-0.0016801179560978262,-0.0048770399998619924
Huron,Employment,52,23 Construction,0,-0.0073145016828340811,-0.0053400490658775147,-0.012654550748711597
Huron,Employment,65,31-33 Manufacturing,0,-0.0016838085485799824,-0.00041631338975113845,-0.0021001219383311202
Huron,Employment,395,42 Wholesale Trade,-1.5853457450866699,-0.018639880956142097,-0.0069870889833117192,-1.6109727150261237
